imagens,diferença (%)
1 -> 9,93.796875
1 -> 8,93.203125
1 -> 7,90.746094
1 -> 6,94.453125
1 -> 5,91.914062
1 -> 4,91.886719
1 -> 3,96.835938
1 -> 2,99.140625
1 -> 1,0.000000
2 -> 9,99.019531
2 -> 8,99.125000
2 -> 7,98.886719
2 -> 6,99.039062
2 -> 5,98.707031
2 -> 4,98.925781
2 -> 3,99.171875
2 -> 2,0.000000
3 -> 9,96.785156
3 -> 8,96.289062
3 -> 7,95.039062
3 -> 6,96.394531
3 -> 5,94.898438
3 -> 4,95.554688
3 -> 3,0.000000
4 -> 9,91.558594
4 -> 8,90.121094
4 -> 7,86.707031
4 -> 6,88.882812
4 -> 5,85.242188
4 -> 4,0.000000
5 -> 9,90.144531
5 -> 8,89.605469
5 -> 7,85.316406
5 -> 6,90.488281
5 -> 5,0.000000
6 -> 9,94.140625
6 -> 8,92.898438
6 -> 7,90.269531
6 -> 6,0.000000
7 -> 9,91.035156
7 -> 8,90.042969
7 -> 7,0.000000
8 -> 9,93.078125
8 -> 8,0.000000
9 -> 9,0.000000
